step,elapsed_sec,lr,train_loss,val_loss
30,9.8,0.000089,3.8991,
30,9.8,,,3.4783
60,23.3,0.000039,2.7844,
60,23.3,,,3.3892
90,37.0,0.000010,2.4709,
90,37.0,,,3.3833
